Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate
2018,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3515,
2015,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",247,
2016,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",208,
2017,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",204,
2019,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",163,
2015,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1206,
2018,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",174,
2016,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1223,
2019,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",828,
2017,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1083,
2018,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1020,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1233,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1214,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1060,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1084,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",280,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",872,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",223,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",198,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",141,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",165,
2015,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",773,
2016,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",805,
2017,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",699,
2018,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",922,
2019,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",1036,
2015,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1343,
2016,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1225,
2017,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1265,
2018,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1250,
2019,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1113,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",112,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",42,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",16,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",17,
2015,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",659,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",4,
2016,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",647,
2017,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",653,
2018,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",501,
2019,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",427,
2016,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",5.9,0.059
2015,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",6.6,0.066
2017,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",4.7,0.047
2018,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",3.4,0.034
2019,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",3.6,0.036
2015,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",3.4,0.034
2016,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",4,0.04
2017,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",1.8,0.018
2018,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",1.4,0.014
2019,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",0,0
2015,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4321,
2016,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4349,
2017,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4283,
2018,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4140,
2019,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",3937,
2015,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",255,
2016,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",272,
2017,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",132,
2018,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",131,
2019,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",97,
2015,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",863,
2017,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",615,
2016,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",766,
2018,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",706,
2015,Unemployment By Race,,Asian,"Talbot County, Maryland",5.1,0.051
2019,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",812,
2016,Unemployment By Race,,Asian,"Talbot County, Maryland",3,0.03
2017,Unemployment By Race,,Asian,"Talbot County, Maryland",2.4,0.024
2018,Unemployment By Race,,Asian,"Talbot County, Maryland",5.4,0.054
2019,Unemployment By Race,,Asian,"Talbot County, Maryland",2.7,0.027
2015,Unemployment By Race,,White,"Talbot County, Maryland",6.1,0.061
2017,Unemployment By Race,,White,"Talbot County, Maryland",3.8,0.038
2016,Unemployment By Race,,White,"Talbot County, Maryland",5.5,0.055
2018,Unemployment By Race,,White,"Talbot County, Maryland",2.8,0.028
2019,Unemployment By Race,,White,"Talbot County, Maryland",2.5,0.025
2015,Unemployment By Race,,Black,"Talbot County, Maryland",8,0.08
2016,Unemployment By Race,,Black,"Talbot County, Maryland",9.1,0.091
2017,Unemployment By Race,,Black,"Talbot County, Maryland",7.1,0.071
2018,Unemployment By Race,,Black,"Talbot County, Maryland",4.6,0.046
2019,Unemployment By Race,,Black,"Talbot County, Maryland",7.9,0.079
2015Q3,TANF Workers,,,"Washington County, Maryland",125,
2015Q4,TANF Workers,,,"Washington County, Maryland",165,
2015Q3,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.188340942,0.001883409
2015Q4,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.244792594,0.002447926
2016Q1,TANF Workers,,,"Washington County, Maryland",131,
2016Q2,TANF Workers,,,"Washington County, Maryland",137,
2016Q3,TANF Workers,,,"Washington County, Maryland",136,
2016Q4,TANF Workers,,,"Washington County, Maryland",137,
2016Q1,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.198668466,0.001986685
2016Q2,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.204767955,0.00204768
2016Q3,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.205134393,0.002051344
2016Q4,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.203493554,0.002034936
2017Q1,TANF Workers,,,"Washington County, Maryland",132,
2017Q2,TANF Workers,,,"Washington County, Maryland",146,
2017Q3,TANF Workers,,,"Washington County, Maryland",105,
2017Q4,TANF Workers,,,"Washington County, Maryland",121,
2017Q1,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.199646082,0.001996461
2017Q2,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.21793647,0.002179365
2017Q3,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.159664249,0.001596642
2017Q4,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.181744446,0.001817444
2018Q1,TANF Workers,,,"Washington County, Maryland",96,
2018Q2,TANF Workers,,,"Washington County, Maryland",131,
2018Q3,TANF Workers,,,"Washington County, Maryland",109,
2018Q4,TANF Workers,,,"Washington County, Maryland",117,
2018Q1,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.148100153,0.001481002
2018Q2,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.199981681,0.001999817
2018Q3,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.167761993,0.00167762
2018Q4,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.177768324,0.001777683
2019Q1,TANF Workers,,,"Washington County, Maryland",90,
2019Q2,TANF Workers,,,"Washington County, Maryland",127,
2019Q1,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.139513254,0.001395133
2019Q2,Percent of Workers in TANF (%),,,"Washington County, Maryland",0.193014985,0.00193015
2016Q3,TANF Participants in Workforce Service ,,,"Washington County, Maryland",4,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",1.129943503,0.011299435
2017Q1,TANF Participants in Workforce Service ,,,"Washington County, Maryland",7,
2017Q2,TANF Participants in Workforce Service ,,,"Washington County, Maryland",8,
2017Q3,TANF Participants in Workforce Service ,,,"Washington County, Maryland",3,
2017Q4,TANF Participants in Workforce Service ,,,"Washington County, Maryland",4,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",2.046783626,0.020467836
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",2.094240838,0.020942408
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",0.663716814,0.006637168
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",1.108033241,0.011080332
2018Q1,TANF Participants in Workforce Service ,,,"Washington County, Maryland",1,
2018Q2,TANF Participants in Workforce Service ,,,"Washington County, Maryland",3,
2018Q3,TANF Participants in Workforce Service ,,,"Washington County, Maryland",3,
2018Q4,TANF Participants in Workforce Service ,,,"Washington County, Maryland",3,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",0.302114804,0.003021148
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",0.92879257,0.009287926
2018Q3,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",1,0.01
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",0.724637681,0.007246377
2019Q1,TANF Participants in Workforce Service ,,,"Washington County, Maryland",7,
2019Q2,TANF Participants in Workforce Service ,,,"Washington County, Maryland",3,
2019Q1,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",1.505376344,0.015053763
2019Q2,Percent of Workforce Service participants in TANF (%),,,"Washington County, Maryland",2.727272727,0.027272727
2017,SNAP Recipient Workers,,,"Washington County, Maryland",9214,
2018,SNAP Recipient Workers,,,"Washington County, Maryland",8798,
2019,SNAP Recipient Workers,,,"Washington County, Maryland",8606,
2020,SNAP Recipient Workers,,,"Washington County, Maryland",8096,
2017,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.036161,3.6161
2018,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.036891,3.6891
2019,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.035786,3.5786
2020,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.035167,3.5167
2015,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5586,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5458,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5639,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5229,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5331,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",63201,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",62202,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",61440,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",61543,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",61871,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Washington County, Maryland",5519,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Washington County, Maryland",5302,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Washington County, Maryland",5216,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Washington County, Maryland",5149,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Washington County, Maryland",4967,
2016,Median Household Income,,,"Washington County, Maryland",56316,
2018,Median Household Income,,,"Washington County, Maryland",59719,
2015,Total Population,,,"Washington County, Maryland",149270,
2015,Median Household Income,,,"Washington County, Maryland",56228,
2017,Median Household Income,,,"Washington County, Maryland",58260,
2019,Median Household Income,,,"Washington County, Maryland",60860,
2017,Total Population,,,"Washington County, Maryland",149546,
2019,Total Population,,,"Washington County, Maryland",150109,
2016,Unemployment By Gender,,Male,"Washington County, Maryland",6.8,0.068
2016,Total Population,,,"Washington County, Maryland",149571,
2015,Unemployment By Gender,,Male,"Washington County, Maryland",8,0.08
2018,Total Population,,,"Washington County, Maryland",149811,
2018,Unemployment By Gender,,Male,"Washington County, Maryland",6.6,0.066
2019,Unemployment By Gender,,Male,"Washington County, Maryland",5.6,0.056
2017,Unemployment By Gender,,Male,"Washington County, Maryland",6.4,0.064
2015,Employment Status By Disability Status,Unemployed,Disabled,"Washington County, Maryland",1035,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Washington County, Maryland",840,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Washington County, Maryland",844,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Washington County, Maryland",836,
2017,Unemployment By Race,,Hispanic,"Washington County, Maryland",13,0.13
2018,Employment Status By Disability Status,Unemployed,Disabled,"Washington County, Maryland",764,
2015,Unemployment By Race,,Hispanic,"Washington County, Maryland",11.5,0.115
2016,Unemployment By Race,,Hispanic,"Washington County, Maryland",13,0.13
2018,Unemployment By Race,,Hispanic,"Washington County, Maryland",6.4,0.064
2015,Unemployment By Gender,,Female,"Washington County, Maryland",7.4,0.074
2019,Unemployment By Race,,Hispanic,"Washington County, Maryland",3.3,0.033
2016,Unemployment By Gender,,Female,"Washington County, Maryland",7,0.07
2017,Unemployment By Gender,,Female,"Washington County, Maryland",6,0.06
2018,Unemployment By Gender,,Female,"Washington County, Maryland",5.4,0.054
2019,Unemployment By Gender,,Female,"Washington County, Maryland",4.7,0.047
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Washington County, Maryland",4039,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Washington County, Maryland",3506,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Washington County, Maryland",3590,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Washington County, Maryland",4658,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Washington County, Maryland",2829,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Washington County, Maryland",58543,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Washington County, Maryland",58163,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Washington County, Maryland",58037,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Washington County, Maryland",57850,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Washington County, Maryland",59042,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Washington County, Maryland",397,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Washington County, Maryland",328,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Washington County, Maryland",337,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Washington County, Maryland",2260,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Washington County, Maryland",2375,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Washington County, Maryland",2589,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Washington County, Maryland",2525,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Washington County, Maryland",2808,
2016,Employment Status By Education,Employed,Highschool,"Washington County, Maryland",19422,
2015,Employment Status By Education,Employed,Highschool,"Washington County, Maryland",19757,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Washington County, Maryland",14343,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Washington County, Maryland",14344,
2017,Employment Status By Education,Employed,Highschool,"Washington County, Maryland",18564,
2018,Employment Status By Education,Employed,Highschool,"Washington County, Maryland",18308,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Washington County, Maryland",15095,
2019,Employment Status By Education,Employed,Highschool,"Washington County, Maryland",18690,
2015,Employment Status By Education,Unemployed,Highschool,"Washington County, Maryland",1711,
2016,Employment Status By Education,Unemployed,Highschool,"Washington County, Maryland",1497,
2017,Employment Status By Education,Unemployed,Highschool,"Washington County, Maryland",1420,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Washington County, Maryland",14823,
2019,Employment Status By Education,Unemployed,Highschool,"Washington County, Maryland",1357,
2018,Employment Status By Education,Unemployed,Highschool,"Washington County, Maryland",1384,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Washington County, Maryland",487,
2015,Employment Status By Education,NIL,Highschool,"Washington County, Maryland",7857,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Washington County, Maryland",15086,
2016,Employment Status By Education,NIL,Highschool,"Washington County, Maryland",7988,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Washington County, Maryland",3534,
2019,Employment Status By Education,NIL,Highschool,"Washington County, Maryland",7939,
2017,Employment Status By Education,NIL,Highschool,"Washington County, Maryland",7962,
2018,Employment Status By Education,NIL,Highschool,"Washington County, Maryland",8091,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Washington County, Maryland",380,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Washington County, Maryland",3621,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Washington County, Maryland",3920,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Washington County, Maryland",3764,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Washington County, Maryland",1985,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Washington County, Maryland",3793,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Washington County, Maryland",1681,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Washington County, Maryland",1452,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Washington County, Maryland",1356,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Washington County, Maryland",1047,
2017,Employment Status By Disability Status,Employed,Disabled,"Washington County, Maryland",4799,
2015,Employment Status By Disability Status,Employed,Disabled,"Washington County, Maryland",4551,
2016,Employment Status By Disability Status,Employed,Disabled,"Washington County, Maryland",4614,
2018,Employment Status By Disability Status,Employed,Disabled,"Washington County, Maryland",4465,
2019,Employment Status By Disability Status,Employed,Disabled,"Washington County, Maryland",4495,
2015,Employment Status By Education,Employed,Less than Highschool,"Washington County, Maryland",3653,
2016,Employment Status By Education,Employed,Less than Highschool,"Washington County, Maryland",3723,
2017,Employment Status By Education,Employed,Less than Highschool,"Washington County, Maryland",3852,
2018,Employment Status By Education,Employed,Less than Highschool,"Washington County, Maryland",3952,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Washington County, Maryland",508,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Washington County, Maryland",610,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Washington County, Maryland",372,
2019,Employment Status By Education,Employed,Less than Highschool,"Washington County, Maryland",4077,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Washington County, Maryland",171,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Washington County, Maryland",370,
2015,Employment Status By Education,NIL,Less than Highschool,"Washington County, Maryland",4621,
2016,Employment Status By Education,NIL,Less than Highschool,"Washington County, Maryland",4685,
2017,Employment Status By Education,NIL,Less than Highschool,"Washington County, Maryland",4791,
2018,Employment Status By Education,NIL,Less than Highschool,"Washington County, Maryland",4829,
2019,Employment Status By Education,NIL,Less than Highschool,"Washington County, Maryland",4583,
2015,Unemployment By Veteran Status,,Non Veteran,"Washington County, Maryland",8.3,0.083
2016,Unemployment By Veteran Status,,Non Veteran,"Washington County, Maryland",7.2,0.072
2018,Unemployment By Veteran Status,,Non Veteran,"Washington County, Maryland",6.5,0.065
2017,Unemployment By Veteran Status,,Non Veteran,"Washington County, Maryland",6.7,0.067
2015,Unemployment By Veteran Status,,Veteran,"Washington County, Maryland",8.1,0.081
2019,Unemployment By Veteran Status,,Non Veteran,"Washington County, Maryland",5.5,0.055
2016,Unemployment By Veteran Status,,Veteran,"Washington County, Maryland",7.2,0.072
2017,Unemployment By Veteran Status,,Veteran,"Washington County, Maryland",5.4,0.054
2018,Unemployment By Veteran Status,,Veteran,"Washington County, Maryland",4.4,0.044
2019,Unemployment By Veteran Status,,Veteran,"Washington County, Maryland",4.6,0.046
2015,Employment Status By Education,Employed,Some College,"Washington County, Maryland",18195,
2016,Employment Status By Education,Employed,Some College,"Washington County, Maryland",17977,
2017,Employment Status By Education,Employed,Some College,"Washington County, Maryland",17741,
2018,Employment Status By Education,Employed,Some College,"Washington County, Maryland",18045,
2015,Employment Status By Education,Unemployed,Some College,"Washington County, Maryland",1311,
2019,Employment Status By Education,Employed,Some College,"Washington County, Maryland",17827,
2016,Employment Status By Education,Unemployed,Some College,"Washington County, Maryland",1168,
2017,Employment Status By Education,Unemployed,Some College,"Washington County, Maryland",982,
2018,Employment Status By Education,Unemployed,Some College,"Washington County, Maryland",861,
2019,Employment Status By Education,Unemployed,Some College,"Washington County, Maryland",813,
2015,Employment Status By Education,NIL,Some College,"Washington County, Maryland",5455,
2017,Employment Status By Education,NIL,Some College,"Washington County, Maryland",5962,
2016,Employment Status By Education,NIL,Some College,"Washington County, Maryland",5793,
2018,Employment Status By Education,NIL,Some College,"Washington County, Maryland",6132,
2019,Employment Status By Education,NIL,Some College,"Washington County, Maryland",6001,
2015,Unemployment By Race,,Asian,"Washington County, Maryland",3.8,0.038
2017,Unemployment By Race,,Asian,"Washington County, Maryland",2.8,0.028
2018,Unemployment By Race,,Asian,"Washington County, Maryland",2.5,0.025
2016,Unemployment By Race,,Asian,"Washington County, Maryland",2.4,0.024
2019,Unemployment By Race,,Asian,"Washington County, Maryland",1.6,0.016
2015,Unemployment By Race,,White,"Washington County, Maryland",7.9,0.079
2016,Unemployment By Race,,White,"Washington County, Maryland",6.7,0.067
2019,Unemployment By Race,,White,"Washington County, Maryland",5,0.05
2018,Unemployment By Race,,White,"Washington County, Maryland",6,0.06
2017,Unemployment By Race,,White,"Washington County, Maryland",5.9,0.059
2015,Unemployment By Race,,Black,"Washington County, Maryland",15.7,0.157
2016,Unemployment By Race,,Black,"Washington County, Maryland",16.3,0.163
2017,Unemployment By Race,,Black,"Washington County, Maryland",15.8,0.158
2018,Unemployment By Race,,Black,"Washington County, Maryland",12.4,0.124
2019,Unemployment By Race,,Black,"Washington County, Maryland",11.5,0.115
2015Q3,TANF Workers,,,"Wicomico County, Maryland",165,
2015Q4,TANF Workers,,,"Wicomico County, Maryland",178,
2015Q3,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.38150289,0.003815029
2015Q4,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.403399433,0.004033994
2016Q1,TANF Workers,,,"Wicomico County, Maryland",136,
2016Q2,TANF Workers,,,"Wicomico County, Maryland",173,
2016Q3,TANF Workers,,,"Wicomico County, Maryland",163,
2016Q4,TANF Workers,,,"Wicomico County, Maryland",155,
2016Q1,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.316021843,0.003160218
2016Q2,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.392869309,0.003928693
2016Q3,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.377673255,0.003776733
2016Q4,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.351155415,0.003511554
2017Q1,TANF Workers,,,"Wicomico County, Maryland",124,
2017Q2,TANF Workers,,,"Wicomico County, Maryland",150,
2017Q3,TANF Workers,,,"Wicomico County, Maryland",131,
2017Q4,TANF Workers,,,"Wicomico County, Maryland",141,
2017Q1,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.289354553,0.002893546
2017Q2,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.339443313,0.003394433
2017Q3,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.3019268,0.003019268
2017Q4,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.317982951,0.00317983
2018Q1,TANF Workers,,,"Wicomico County, Maryland",103,
2018Q2,TANF Workers,,,"Wicomico County, Maryland",126,
2018Q3,TANF Workers,,,"Wicomico County, Maryland",140,
2018Q4,TANF Workers,,,"Wicomico County, Maryland",132,
2018Q1,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.241048444,0.002410484
2018Q2,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.284174203,0.002841742
2018Q3,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.320051208,0.003200512
2018Q4,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.298311826,0.002983118
2019Q1,TANF Workers,,,"Wicomico County, Maryland",99,
2019Q2,TANF Workers,,,"Wicomico County, Maryland",110,
2019Q1,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.228215768,0.002282158
2019Q2,Percent of Workers in TANF (%),,,"Wicomico County, Maryland",0.248211747,0.002482117
2016Q3,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",45,
2016Q4,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",18,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",7.177033493,0.071770335
2016Q4,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.765690377,0.037656904
2017Q1,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",29,
2017Q2,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",22,
2017Q3,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",17,
2017Q4,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",14,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",4.982817869,0.049828179
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",4.554865424,0.045548654
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.703703704,0.037037037
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",2.745098039,0.02745098
2018Q1,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",17,
2018Q2,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",13,
2018Q3,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",15,
2018Q4,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",19,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.64806867,0.036480687
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.475935829,0.034759358
2018Q3,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.640776699,0.036407767
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",4.960835509,0.049608355
2019Q1,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",19,
2019Q2,TANF Participants in Workforce Service ,,,"Wicomico County, Maryland",2,
2019Q1,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",3.551401869,0.035514019
2019Q2,Percent of Workforce Service participants in TANF (%),,,"Wicomico County, Maryland",1.818181818,0.018181818
2017,SNAP Recipient Workers,,,"Wicomico County, Maryland",8062,
2018,SNAP Recipient Workers,,,"Wicomico County, Maryland",7730,
2019,SNAP Recipient Workers,,,"Wicomico County, Maryland",7677,
